drug_name,url
Abecma,https://www.drugs.com/abecma.html
Abilify,https://www.drugs.com/abilify.html
Abilify Asimtufii,https://www.drugs.com/abilify-asimtufii.html
Abilify Maintena,https://www.drugs.com/abilify-maintena.html
Abiraterone,https://www.drugs.com/abiraterone.html
Acetaminophen,https://www.drugs.com/acetaminophen.html
Acetazolamide,https://www.drugs.com/mtm/acetazolamide.html
Acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html
Actemra,https://www.drugs.com/actemra.html
Actos,https://www.drugs.com/actos.html
Acyclovir,https://www.drugs.com/acyclovir.html
Adderall,https://www.drugs.com/adderall.html
Adderall XR,https://www.drugs.com/mtm/adderall-xr.html
Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html
Advil,https://www.drugs.com/advil.html
Afinitor,https://www.drugs.com/afinitor.html
Agamree,https://www.drugs.com/agamree.html
Aimovig,https://www.drugs.com/aimovig.html
Ajovy,https://www.drugs.com/ajovy.html
Albuterol,https://www.drugs.com/albuterol.html
Alecensa,https://www.drugs.com/alecensa.html
Alendronate,https://www.drugs.com/mtm/alendronate.html
Alfuzosin,https://www.drugs.com/cons/alfuzosin.html
Allegra,https://www.drugs.com/allegra.html
Allopurinol,https://www.drugs.com/allopurinol.html
Alprazolam,https://www.drugs.com/alprazolam.html
Alprolix,https://www.drugs.com/alprolix.html
Alunbrig,https://www.drugs.com/alunbrig.html
Amantadine,https://www.drugs.com/amantadine.html
Ambien,https://www.drugs.com/ambien.html
Ambroxol,https://www.drugs.com/ambroxol.html
Amiodarone,https://www.drugs.com/amiodarone.html
Amitriptyline,https://www.drugs.com/amitriptyline.html
Amlodipine,https://www.drugs.com/amlodipine.html
Amoxicillin,https://www.drugs.com/amoxicillin.html
Amoxicillin and Clavulanate,https://www.drugs.com/amoxicillin_clavulanate.html
Amphetamine and dextroamphetamine,https://www.drugs.com/mtm/amphetamine-and-dextroamphetamine.html
Ampicillin,https://www.drugs.com/mtm/ampicillin.html
Amvuttra,https://www.drugs.com/amvuttra.html
Anastrozole,https://www.drugs.com/mtm/anastrozole.html
AndroGel,https://www.drugs.com/androgel.html
Annovera,https://www.drugs.com/annovera.html
Apalutamide,https://www.drugs.com/apalutamide.html
Apixaban,https://www.drugs.com/mtm/apixaban.html
Apokyn,https://www.drugs.com/apokyn.html
Apriso,https://www.drugs.com/apriso.html
Aptiom,https://www.drugs.com/aptiom.html
Aricept,https://www.drugs.com/aricept.html
Arikayce,https://www.drugs.com/arikayce.html
Arimidex,https://www.drugs.com/arimidex.html
Aripiprazole,https://www.drugs.com/aripiprazole.html
Aristada,https://www.drugs.com/aristada.html
Aromasin,https://www.drugs.com/aromasin.html
Aspirin,https://www.drugs.com/aspirin.html
Atarax,https://www.drugs.com/atarax.html
Atenolol,https://www.drugs.com/atenolol.html
Ativan,https://www.drugs.com/ativan.html
Atogepant,https://www.drugs.com/atogepant.html
Atomoxetine,https://www.drugs.com/atomoxetine.html
Atorvastatin,https://www.drugs.com/atorvastatin.html
Aubagio,https://www.drugs.com/aubagio.html
Augmentin,https://www.drugs.com/augmentin.html
Austedo,https://www.drugs.com/austedo.html
Auvelity,https://www.drugs.com/auvelity.html
Auvi-Q,https://www.drugs.com/auvi-q.html
avacincaptad pegol,https://www.drugs.com/avacincaptad-pegol.html
Avonex,https://www.drugs.com/avonex.html
Avsola,https://www.drugs.com/avsola.html
Azathioprine,https://www.drugs.com/mtm/azathioprine.html
Azelastine,https://www.drugs.com/pro/azelastine.html
Azilect,https://www.drugs.com/azilect.html
Azithromycin,https://www.drugs.com/azithromycin.html
Azulfidine,https://www.drugs.com/mtm/azulfidine.html
A/B Otic,https://www.drugs.com/cons/a-b-otic.html
Abacavir,https://www.drugs.com/mtm/abacavir.html
Abacavir and lamivudine,https://www.drugs.com/mtm/abacavir-and-lamivudine.html
Abacavir and Lamivudine Tablets,https://www.drugs.com/pro/abacavir-and-lamivudine-tablets.html
Abacavir Oral Solution,https://www.drugs.com/pro/abacavir-oral-solution.html
Abacavir Sulfate,https://www.drugs.com/monograph/abacavir-sulfate.html
Abacavir Sulfate Tablets,https://www.drugs.com/pro/abacavir-sulfate-tablets.html
"Abacavir, dolutegravir, and lamivudine",https://www.drugs.com/mtm/abacavir-dolutegravir-and-lamivudine.html
"Abacavir, Lamivudine and Zidovudine Tablets",https://www.drugs.com/pro/abacavir-lamivudine-and-zidovudine-tablets.html
"Abacavir, lamivudine, and zidovudine",https://www.drugs.com/mtm/abacavir-lamivudine-and-zidovudine.html
Abaloparatide,https://www.drugs.com/mtm/abaloparatide.html
Abametapir,https://www.drugs.com/cons/abametapir.html
